B01.035.001 Прием (осмотр, консультация) врача-психиатра первичный
B01.035.002 Прием (осмотр, консультация) врача-психиатра повторный
B01.035.003 Прием (осмотр, консультация) врача-психиатра детского первичный
B01.035.004 Прием (осмотр, консультация) врача-психиатра детского повторный
B01.035.005 Прием (осмотр, консультация) врача-психиатра участкового первичный
B01.035.006 Прием (осмотр, консультация) врача-психиатра участкового повторный
B01.035.007 Прием (осмотр, консультация) врача-психиатра детского участкового первичный
B01.035.008 Прием (осмотр, консультация) врача-психиатра детского участкового повторный
B01.035.009 Прием (осмотр, консультация) врача-психиатра подросткового первичный
B01.035.010 Прием (осмотр, консультация) врача-психиатра подросткового повторный
B01.035.011 Прием (осмотр, консультация) врача-психиатра подросткового участкового первичный
B01.035.012 Прием (осмотр, консультация) врача-психиатра подросткового участкового повторный
B01.035.013 Ежедневный осмотр врачом-психиатром с наблюдением и уходом среднего и младшего медицинского персонала в отделении стационара
B01.035.014 Прием (осмотр, консультация) врача-судебно-психиатрического эксперта первичный
B01.035.015 Прием (осмотр, консультация) врача-судебно-психиатрического эксперта повторный
