B01.047.001 Прием (осмотр, консультация) врача-терапевта первичный
B01.047.002 Прием (осмотр, консультация) врача-терапевта повторный
B01.047.003 Прием (осмотр, консультация) врача-терапевта подросткового первичный
B01.047.004 Прием (осмотр, консультация) врача-терапевта подросткового повторный
B01.047.005 Прием (осмотр, консультация) врача-терапевта участкового первичный
B01.047.006 Прием (осмотр, консультация) врача-терапевта участкового повторный
B01.047.007 Прием (осмотр, консультация) врача приемного отделения первичный
B01.047.008 Прием (осмотр, консультация) врача приемного отделения повторный
B01.047.009 Ежедневный осмотр врачом-терапевтом с наблюдением и уходом среднего и младшего медицинского персонала в отделении стационара
B01.047.010 Прием (осмотр, консультация) врача по водолазной медицине первичный
B01.047.011 Прием (осмотр, консультация) врача по водолазной медицине повторный
B01.047.012 Прием (осмотр, консультация) врача по авиационной и космической медицине первичный
B01.047.013 Прием (осмотр, консультация) врача по авиационной и космической медицине повторный
